,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-15 to 7-Nov-23,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
03-May-20,By,(as per details),,,Payment,18,,3650.00
,,Home Cash Paid,,,,,2060.00 Dr,
,,Home Cash Paid,,,,,1590.00 Dr,
07-May-20,By,Home Cash Paid,,,Payment,20,,500.00
07-May-20,By,Home Perquisites,,,Payment,22,,290.00
07-May-20,To,Bhavesh Sabhadiya,,,Receipt,9,555.00,
10-May-20,By,Kalpesh Shiyani,,,Payment,24,,135.00
10-May-20,By,Home Cash Paid,,,Payment,25,,500.00
10-May-20,To,Vishal Sabhadiya,,,Receipt,11,50.00,
10-May-20,To,Vishal Sabhadiya,,,Receipt,12,505.00,
12-May-20,By,(as per details),,,Payment,26,,130.00
,,Rameshmama,,,,,30.00 Dr,
,,Rameshmama,,,,,100.00 Dr,
12-May-20,By,Home Medicines,,,Payment,27,,500.00
12-May-20,By,Home Medicines,,,Payment,28,,250.00
13-May-20,By,Home Medicines,,,Payment,30,,200.00
14-May-20,By,Home Perquisites,,,Payment,31,,300.00
14-May-20,To,Valbhai Same,,,Receipt,13,555.00,
16-May-20,By,Home Cash Paid,,,Payment,33,,200.00
18-May-20,By,Ankit Sorathiya,,,Payment,35,,1000.00
20-May-20,By,Chirag,,,Payment,37,,1000.00
23-May-20,By,Home Cash Paid,,,Payment,39,,200.00
23-May-20,By,Party With Friends,,,Payment,40,,100.00
23-May-20,By,Petrol Expenses,,,Payment,41,,150.00
23-May-20,By,Home Cash Paid,,,Payment,42,,100.00
23-May-20,By,Misc. Expenses,,,Payment,43,,20.00
23-May-20,By,Home Cash Paid,,,Payment,44,,800.00
25-May-20,By,Home Cash Paid,,,Payment,48,,500.00
25-May-20,By,Petrol Expenses,,,Payment,49,,200.00
28-May-20,By,Party With Friends,,,Payment,52,,190.00
01-Jun-20,To,Office Expense,,,Receipt,21,550.00,
01-Jun-20,To,Upad,,,Receipt,22,1000.00,
01-Jun-20,By,Mandal Date Advocate Group 02,,,Payment,56,,1000.00
01-Jun-20,To,Bhavesh Sabhadiya,,,Receipt,23,1000.00,
01-Jun-20,By,Chirag,,,Payment,57,,150.00
04-Jun-20,By,Misc. Expenses,,,Payment,61,,20.00
05-Jun-20,By,Misc. Expenses,,,Payment,62,,30.00
07-Jun-20,To,Mahesana,,,Contra,2,3000.00,
07-Jun-20,To,Bharat Bank,,,Contra,3,5000.00,
07-Jun-20,To,Loans From Friends,,,Receipt,28,5000.00,
07-Jun-20,By,Home Cash Paid,,,Payment,64,,20000.00
08-Jun-20,By,Party With Friends,,,Payment,65,,30.00
12-Jun-20,To,Bhavesh Sabhadiya,,,Receipt,31,2000.00,
13-Jun-20,By,Party With Friends,,,Payment,69,,150.00
14-Jun-20,By,Home Medicines,,,Payment,70,,80.00
17-Jun-20,By,Home Cash Paid,,,Payment,72,,500.00
17-Jun-20,To,Home Perquisites,,,Receipt,34,60.00,
18-Jun-20,By,Food,,,Payment,73,,60.00
18-Jun-20,To,Misc Recharges,,,Receipt,35,149.00,
18-Jun-20,By,Home Cash Paid,,,Payment,80,,150.00
18-Jun-20,To,Upad,,,Receipt,36,7000.00,
19-Jun-20,By,Food,,,Payment,81,,60.00
20-Jun-20,By,Food,,,Payment,82,,60.00
21-Jun-20,By,Food,,,Payment,85,,50.00
22-Jun-20,By,Party With Friends,,,Payment,86,,100.00
22-Jun-20,By,Misc. Expenses,,,Payment,87,,99.00
22-Jun-20,To,Loans From Friends,,,Receipt,40,4000.00,
23-Jun-20,By,Chirag,,,Payment,89,,500.00
23-Jun-20,To,Piyush Vaghasiya,,,Receipt,41,5000.00,
23-Jun-20,By,Chirag,,,Payment,90,,160.00
23-Jun-20,By,Chirag,,,Payment,92,,80.00
25-Jun-20,By,Home Perquisites,,,Payment,94,,120.00
25-Jun-20,By,Home Perquisites,,,Payment,95,,340.00
25-Jun-20,By,Home Cash Paid,,,Payment,96,,200.00
26-Jun-20,By,Rahil,,,Payment,97,,600.00
26-Jun-20,By,Chirag,,,Payment,98,,100.00
26-Jun-20,By,Office Expense,,,Payment,99,,65.00
26-Jun-20,To,Office Expense,,,Receipt,44,705.00,
26-Jun-20,By,Cash Reserve I,,,Payment,100,,5000.00
26-Jun-20,By,Rubik Cube,,,Payment,101,,100.00
26-Jun-20,To,Deep Shweta,,,Receipt,45,545.00,
26-Jun-20,By,Food,,,Payment,102,,45.00
26-Jun-20,By,Chirag,,,Payment,103,,210.00
26-Jun-20,By,Misc. Expenses,,,Payment,104,,50.00
28-Jun-20,By,Home Medicines,,,Payment,106,,340.00
28-Jun-20,By,Party With Friends,,,Payment,107,,170.00
29-Jun-20,By,Chirag,,,Payment,108,,120.00
01-Jul-20,By,Home Cash Paid,,,Payment,110,,1000.00
01-Jul-20,By,Office Expense,,,Payment,113,,50.00
01-Jul-20,By,Office Expense,,,Payment,114,,20.00
03-Jul-20,By,Bhaveshbhai 45,,,Payment,115,,1550.00
03-Jul-20,By,Home Cash Paid,,,Payment,116,,4500.00
03-Jul-20,By,Chirag,,,Payment,117,,510.00
03-Jul-20,To,Rahil,,,Receipt,51,500.00,
03-Jul-20,By,Deep Shweta,,,Payment,118,,490.00
03-Jul-20,By,Spy Guard,,,Payment,119,,350.00
04-Jul-20,To,Deep Shweta,,,Receipt,56,300.00,
04-Jul-20,By,Home Medicines,,,Payment,120,,100.00
04-Jul-20,To,Upad,,,Receipt,58,500.00,
04-Jul-20,By,Food,,,Payment,121,,80.00
04-Jul-20,By,Chirag,,,Payment,122,,200.00
04-Jul-20,By,Home Cash Paid,,,Payment,123,,500.00
04-Jul-20,To,Ankit Sorathiya,,,Receipt,59,150.00,
05-Jul-20,By,Home Cash Paid,,,Payment,126,,500.00
09-Jul-20,To,Upad,,,Receipt,67,1300.00,
09-Jul-20,By,Home Cash Paid,,,Payment,131,,550.00
10-Jul-20,To,Misc Recharges,,,Receipt,70,149.00,
10-Jul-20,By,Food,,,Payment,134,,120.00
12-Jul-20,To,Rasik Vaghasiya,,,Receipt,72,900.00,
12-Jul-20,To,Misc Recharges,,,Receipt,73,200.00,
12-Jul-20,By,Misc. Expenses,,,Payment,138,,69.00
13-Jul-20,By,Bike Service,,,Payment,139,,100.00
13-Jul-20,By,Food,,,Payment,140,,60.00
14-Jul-20,By,Food,,,Payment,141,,60.00
14-Jul-20,To,Home Perquisites,,,Receipt,76,20.00,
17-Jul-20,By,Food,,,Payment,145,,120.00
18-Jul-20,By,Food,,,Payment,147,,120.00
20-Jul-20,By,Rubik Cube,,,Payment,148,,150.00
20-Jul-20,By,Home Medicines,,,Payment,149,,100.00
20-Jul-20,By,Chirag,,,Payment,150,,390.00
21-Jul-20,By,Bhaveshbhai 45,,,Payment,153,,80.00
25-Jul-20,By,Food,,,Payment,154,,50.00
26-Jul-20,By,Home Medicines,,,Payment,157,,320.00
27-Jul-20,By,Home Cash Paid,,,Payment,159,,1000.00
27-Jul-20,By,Home Perquisites,,,Payment,160,,120.00
28-Jul-20,By,Alpesh Vithhani,,,Payment,161,,70.00
28-Jul-20,By,Misc. Expenses,,,Payment,162,,40.00
28-Jul-20,By,Chirag,,,Payment,163,,500.00
28-Jul-20,To,Cash Reserve I,,,Journal,69,500.00,
29-Jul-20,By,Chirag,,,Payment,164,,350.00
29-Jul-20,By,Chirag,,,Payment,165,,250.00
31-Jul-20,To,Cash Reserve I,,,Journal,72,500.00,
01-Aug-20,To,Deep Shweta,,,Receipt,82,302.00,
01-Aug-20,By,Food,,,Payment,169,,100.00
01-Aug-20,By,Home Cash Paid,,,Payment,170,,500.00
01-Aug-20,To,Upad,,,Receipt,83,1000.00,
01-Aug-20,By,Mandal Date Advocate Group 02,,,Payment,171,,1000.00
03-Aug-20,By,Home Cash Paid,,,Payment,172,,500.00
05-Aug-20,By,Home Perquisites,,,Payment,174,,60.00
05-Aug-20,By,Misc. Expenses,,,Payment,175,,42.00
05-Aug-20,To,Alpesh Vithhani,,,Receipt,87,70.00,
05-Aug-20,By,Food,,,Payment,176,,70.00
07-Aug-20,To,Misc Recharges,,,Receipt,89,699.00,
07-Aug-20,By,Home Cash Paid,,,Payment,179,,500.00
08-Aug-20,By,Misc. Expenses,,,Payment,180,,59.00
08-Aug-20,By,(as per details),,,Journal,78,,50.00
,,Home Cash Paid,,,,,2050.00 Dr,
,,Cash Reserve I,,,,,,2000.00 Cr
11-Aug-20,To,Misc Recharges,,,Receipt,92,598.00,
12-Aug-20,By,Home Cash Paid,,,Payment,188,,500.00
13-Aug-20,By,Hair Cut,,,Payment,189,,200.00
14-Aug-20,By,Food,,,Payment,190,,80.00
14-Aug-20,By,Home Perquisites,,,Payment,191,,150.00
15-Aug-20,To,Upad,,,Receipt,94,3000.00,
16-Aug-20,By,Misc. Expenses,,,Payment,193,,98.00
16-Aug-20,By,Home Perquisites,,,Payment,194,,450.00
16-Aug-20,By,Food,,,Payment,195,,100.00
17-Aug-20,By,Party With Friends,,,Payment,196,,100.00
18-Aug-20,By,Party With Friends,,,Payment,197,,140.00
18-Aug-20,By,Chirag,,,Payment,198,,330.00
18-Aug-20,To,Cash Reserve I,,,Journal,90,1500.00,
18-Aug-20,By,Home Cash Paid,,,Payment,201,,500.00
19-Aug-20,By,Chirag,,,Payment,202,,1600.00
21-Aug-20,To,Rahil,,,Receipt,101,274.00,
23-Aug-20,To,Piyush Vaghasiya,,,Receipt,104,3000.00,
23-Aug-20,By,Jaydeep Dhorajiya,,,Payment,213,,2000.00
23-Aug-20,By,Home Cash Paid,,,Payment,214,,500.00
24-Aug-20,By,Food,,,Payment,215,,200.00
25-Aug-20,By,Office Income,,,Payment,217,,150.00
26-Aug-20,To,Office Income,,,Receipt,115,2500.00,
26-Aug-20,To,Office Income,,,Receipt,116,5000.00,
26-Aug-20,By,Cash Reserve I,,,Payment,220,,500.00
26-Aug-20,By,Office Income,,,Journal,97,,30.00
26-Aug-20,By,Misc. Expenses,,,Payment,221,,4.00
27-Aug-20,By,Office Income,,,Payment,222,,7500.00
28-Aug-20,To,Upad,,,Receipt,118,7100.00,
28-Aug-20,To,Hiteshbhai Bhuva,,,Receipt,119,1500.00,
28-Aug-20,By,Petrol Expenses,,,Payment,225,,200.00
28-Aug-20,By,Food,,,Payment,226,,150.00
28-Aug-20,By,Home Perquisites,,,Payment,227,,30.00
28-Aug-20,By,Ankit Sorathiya,,,Payment,228,,750.00
28-Aug-20,By,Ankit Sorathiya,,,Payment,229,,20.00
28-Aug-20,To,Shaileshbhai Paladiya,,,Receipt,120,18.00,
28-Aug-20,By,Ankit Sorathiya,,,Payment,230,,50.00
29-Aug-20,By,Home Perquisites,,,Payment,231,,550.00
02-Sep-20,To,Upad,,,Receipt,122,5000.00,
02-Sep-20,By,Mandal Date Advocate Group 02,,,Payment,234,,1000.00
03-Sep-20,By,Ankit Sorathiya,,,Payment,237,,2000.00
03-Sep-20,By,Kishan Bhanderi,,,Payment,238,,150.00
03-Sep-20,By,Misc. Expenses,,,Payment,239,,28.00
03-Sep-20,By,Office Income,,,Payment,240,,930.00
07-Sep-20,By,Home Perquisites,,,Payment,246,,250.00
07-Sep-20,By,Home Perquisites,,,Payment,247,,240.00
07-Sep-20,To,Nitesh Vagadiya,,,Receipt,136,887.00,
07-Sep-20,By,Chirag,,,Payment,248,,587.00
09-Sep-20,By,(as per details),,,Payment,252,,3769.00
,,Home Cash Paid,,,,,2683.00 Dr,
,,Home Cash Paid,,,,,1086.00 Dr,
09-Sep-20,By,(as per details),,,Payment,253,,1250.00
,,Home Medicines,,,,,200.00 Dr,
,,Home Medicines,,,,,600.00 Dr,
,,Home Medicines,,,,,450.00 Dr,
09-Sep-20,By,Home Perquisites,,,Payment,254,,150.00
09-Sep-20,By,Misc. Expenses,,,Payment,255,,1.00
10-Sep-20,By,Petrol Expenses,,,Payment,260,,300.00
10-Sep-20,To,Office Income,,,Receipt,142,190.00,
10-Sep-20,To,Upad,,,Receipt,143,2246.00,
10-Sep-20,By,Home Cash Paid,,,Payment,261,,500.00
10-Sep-20,By,PA Shree Ram,,,Payment,262,,360.00
10-Sep-20,By,Party With Friends,,,Payment,263,,620.00
10-Sep-20,By,Misc. Expenses,,,Payment,264,,258.00
11-Sep-20,By,Piyush Vaghasiya,,,Payment,265,,750.00
15-Sep-20,To,(as per details),,,Receipt,147,779.00,
,,Deep Shweta,,,,,,75.00 Cr
,,Misc Recharges,,,,,,704.00 Cr
15-Sep-20,To,Bhaveshbhai 45,,,Receipt,148,699.00,
17-Sep-20,By,Home Cash Paid,,,Payment,278,,500.00
17-Sep-20,By,Food,,,Payment,279,,100.00
19-Sep-20,By,Home Cash Paid,,,Payment,280,,500.00
19-Sep-20,By,Deep Shweta,,,Payment,281,,115.00
19-Sep-20,By,Rahil,,,Payment,282,,115.00
20-Sep-20,By,Guest Expense,,,Payment,283,,250.00
22-Sep-20,By,DBS Bank,,,Contra,4,,100000.00
22-Sep-20,By,DBS Bank,,,Contra,5,,99500.00
22-Sep-20,To,Office Expense,,,Receipt,162,320.00,
22-Sep-20,By,Office Income,,,Payment,289,,460.00
22-Sep-20,To,Upad,,,Receipt,164,5000.00,
22-Sep-20,By,Ankit Sorathiya,,,Payment,290,,1000.00
22-Sep-20,By,Bhaveshbhai 45,,,Payment,291,,182.00
22-Sep-20,By,Home Perquisites,,,Payment,292,,200.00
22-Sep-20,By,Chirag,,,Payment,293,,234.00
22-Sep-20,To,Vijaybhai,,,Receipt,165,500000.00,
22-Sep-20,By,Food,,,Payment,294,,100.00
22-Sep-20,By,Cash Reserve II,,,Payment,295,,1000.00
23-Sep-20,By,IDBI Bank,,,Contra,6,,96000.00
23-Sep-20,By,DBS Bank,,,Contra,7,,500.00
24-Sep-20,By,DBS Bank,,,Contra,8,,200000.00
24-Sep-20,By,Home Cash Paid,,,Payment,296,,150.00
26-Sep-20,By,Home Perquisites,,,Payment,302,,1560.00
26-Sep-20,By,Party With Friends,,,Payment,305,,870.00
29-Sep-20,By,Nikhil Sabhadiya,,,Payment,311,,1000.00
29-Sep-20,To,(as per details),,,Receipt,177,373.00,
,,Deep Shweta,,,,,,199.00 Cr
,,Party With Friends,,,,,,174.00 Cr
29-Sep-20,To,Velocity,,,Receipt,178,887.00,
29-Sep-20,By,Home Perquisites,,,Payment,312,,650.00
29-Sep-20,By,Food,,,Payment,313,,130.00
29-Sep-20,By,Piyush Vaghasiya,,,Payment,314,,780.00
29-Sep-20,By,Home Cash Paid,,,Payment,315,,200.00
29-Sep-20,To,Cash Reserve II,,,Journal,137,350.00,
29-Sep-20,By,Ankit Sorathiya,,,Payment,316,,500.00
29-Sep-20,To,Upad,,,Receipt,179,1600.00,
30-Sep-20,To,Rahil,,,Receipt,181,800.00,
01-Oct-20,By,Home Perquisites,,,Payment,322,,30.00
01-Oct-20,By,Food,,,Payment,323,,130.00
02-Oct-20,To,Upad,,,Receipt,185,2000.00,
02-Oct-20,By,Mandal Date Advocate Group 02,,,Payment,324,,1000.00
03-Oct-20,By,Home Cash Paid,,,Payment,325,,1000.00
03-Oct-20,By,Party With Friends,,,Payment,326,,150.00
04-Oct-20,By,Smart Watch,,,Payment,328,,1250.00
04-Oct-20,By,Food,,,Payment,329,,60.00
04-Oct-20,To,Rahil,,,Receipt,186,400.00,
05-Oct-20,By,Home Cash Paid,,,Payment,331,,500.00
07-Oct-20,By,PA Shree Ram,,,Journal,140,,124.00
08-Oct-20,To,(as per details),,,Receipt,190,6090.00,
,,Brahmani Fashion,,,,,,550.00 Cr
,,Kalpvriksh,,,,,,100.00 Cr
,,Garvi Gujarat,,,,,,5440.00 Cr
08-Oct-20,By,(as per details),,,Payment,338,,650.00
,,Home Cash Paid,,,,,500.00 Dr,
,,Home Perquisites,,,,,150.00 Dr,
08-Oct-20,By,Home Perquisites,,,Payment,339,,1000.00
08-Oct-20,By,Office Expense,,,Payment,340,,220.00
08-Oct-20,To,Office Expense,,,Receipt,191,220.00,
08-Oct-20,By,Boot Polish,,,Payment,341,,20.00
08-Oct-20,By,Home Perquisites,,,Payment,342,,50.00
08-Oct-20,By,My Medicine,,,Payment,343,,50.00
09-Oct-20,To,Upad,,,Receipt,192,7000.00,
10-Oct-20,By,Misc. Expenses,,,Payment,349,,186.00
11-Oct-20,By,Food,,,Payment,355,,60.00
13-Oct-20,To,Piyush Vaghasiya,,,Receipt,196,780.00,
13-Oct-20,By,Home Cash Paid,,,Payment,358,,500.00
13-Oct-20,To,Smart Watch,,,Receipt,197,1250.00,
13-Oct-20,By,(as per details),,,Payment,359,,1700.00
,,Office Expense,,,,,800.00 Dr,
,,Computer Parts,,,,,900.00 Dr,
13-Oct-20,To,Office Expense,,,Receipt,198,800.00,
13-Oct-20,By,Home Cash Paid,,,Payment,360,,500.00
13-Oct-20,By,Office Income,,,Payment,361,,800.00
14-Oct-20,By,(as per details),,,Payment,362,,4000.00
,,Mandal Date CA Group 15,,,,,2000.00 Dr,
,,Nitesh Italiya,,,,,2000.00 Dr,
15-Oct-20,By,(as per details),,,Payment,363,,350.00
,,Party With Friends,,,,,175.00 Dr,
,,Piyush Vaghasiya,,,,,175.00 Dr,
15-Oct-20,To,Piyush Vaghasiya,,,Receipt,200,1000.00,
15-Oct-20,To,Rahil,,,Receipt,201,200.00,
15-Oct-20,By,Home Perquisites,,,Payment,364,,200.00
15-Oct-20,To,Rojmel,,,Receipt,202,500.00,
15-Oct-20,By,Home Perquisites,,,Payment,367,,30.00
15-Oct-20,By,Rojmel,,,Payment,368,,200.00
15-Oct-20,To,Ankit Sorathiya,,,Receipt,205,3000.00,
16-Oct-20,By,Food,,,Payment,372,,50.00
16-Oct-20,By,Office Income,,,Payment,375,,48.00
17-Oct-20,By,(as per details),,,Payment,377,,90.00
,,Party With Friends,,,,,45.00 Dr,
,,Piyush Vaghasiya,,,,,45.00 Dr,
18-Oct-20,By,Misc. Expenses,,,Payment,378,,32.00
18-Oct-20,By,Food,,,Payment,380,,60.00
18-Oct-20,By,Party With Friends,,,Payment,381,,190.00
21-Oct-20,By,Boot Polish,,,Payment,386,,20.00
22-Oct-20,By,Home Cash Paid,,,Payment,388,,2400.00
23-Oct-20,By,Home Perquisites,,,Payment,389,,500.00
24-Oct-20,To,Upad,,,Receipt,216,6500.00,
24-Oct-20,By,Home Cash Paid,,,Payment,392,,1000.00
24-Oct-20,By,Guest Expense,,,Payment,393,,170.00
26-Oct-20,By,Piyush Vaghasiya,,,Payment,400,,5000.00
26-Oct-20,By,Home Perquisites,,,Payment,401,,300.00
26-Oct-20,By,Guest Expense,,,Payment,402,,1419.00
26-Oct-20,To,Deep Shweta,,,Receipt,220,639.00,
27-Oct-20,By,Home Perquisites,,,Payment,403,,1050.00
27-Oct-20,By,Food,,,Payment,404,,70.00
27-Oct-20,By,Party With Friends,,,Payment,407,,900.00
28-Oct-20,By,Home Cash Paid,,,Payment,408,,600.00
30-Oct-20,To,Upad,,,Receipt,224,7000.00,
30-Oct-20,To,Piyush Vaghasiya,,,Journal,167,4500.00,
30-Oct-20,By,Home Perquisites,,,Payment,410,,130.00
30-Oct-20,By,Misc. Expenses,,,Payment,411,,197.00
02-Nov-20,To,Upad,,,Receipt,226,5000.00,
02-Nov-20,By,Mandal Date Advocate Group 02,,,Payment,416,,1000.00
02-Nov-20,By,Office Expense,,,Payment,417,,25.00
02-Nov-20,By,Misc. Expenses,,,Payment,418,,19.00
03-Nov-20,To,Upad,,,Receipt,228,12533.00,
03-Nov-20,By,Sprey and Attar,,,Payment,422,,800.00
03-Nov-20,To,Loans From Friends,,,Receipt,229,1000.00,
03-Nov-20,To,Shaileshbhai Paladiya,,,Receipt,230,5500.00,
03-Nov-20,By,Home Perquisites,,,Payment,423,,100.00
05-Nov-20,By,Home Cash Paid,,,Payment,424,,500.00
05-Nov-20,By,Home Perquisites,,,Payment,425,,794.00
05-Nov-20,By,Mandal Bhavna Park 10,,,Payment,426,,1000.00
05-Nov-20,By,Food,,,Payment,427,,40.00
05-Nov-20,By,Food,,,Payment,428,,40.00
05-Nov-20,By,Hair Cut,,,Payment,429,,140.00
05-Nov-20,By,Food,,,Payment,430,,20.00
05-Nov-20,By,Sai Satyam,,,Payment,431,,900.00
05-Nov-20,By,Bike Service,,,Payment,432,,50.00
05-Nov-20,By,Food,,,Payment,433,,40.00
05-Nov-20,By,Home Perquisites,,,Payment,434,,50.00
05-Nov-20,To,Tusharbhai 33,,,Receipt,235,75.00,
08-Nov-20,By,Home Medicines,,,Payment,437,,600.00
08-Nov-20,By,Food,,,Payment,438,,66.00
08-Nov-20,By,Sai Satyam,,,Payment,439,,100.00
09-Nov-20,By,Home Medicines,,,Payment,440,,1090.00
09-Nov-20,By,Party With Friends,,,Payment,441,,140.00
09-Nov-20,By,Home Perquisites,,,Payment,442,,120.00
09-Nov-20,By,Food,,,Payment,443,,50.00
09-Nov-20,By,Home Perquisites,,,Payment,446,,500.00
09-Nov-20,By,Party With Friends,,,Payment,447,,100.00
10-Nov-20,By,Divyam Cloths,,,Payment,448,,2000.00
10-Nov-20,By,Chirag,,,Payment,449,,150.00
10-Nov-20,By,Food,,,Payment,451,,70.00
11-Nov-20,By,Shaileshbhai Paladiya,,,Payment,453,,5000.00
11-Nov-20,By,Chirag,,,Payment,454,,300.00
11-Nov-20,By,Home Perquisites,,,Payment,455,,3460.00
11-Nov-20,By,Home Perquisites,,,Payment,456,,2510.00
11-Nov-20,By,Ankit Sorathiya,,,Payment,457,,1000.00
12-Nov-20,To,Brahmani Fashion,,,Receipt,242,2800.00,
13-Nov-20,By,Kanani Mandal,,,Payment,459,,4000.00
13-Nov-20,To,DBS Bank,,,Contra,9,4000.00,
14-Nov-20,By,Rumit Donga,,,Payment,461,,70.00
14-Nov-20,By,Himanshu 44,,,Payment,462,,70.00
14-Nov-20,By,Chirag,,,Payment,463,,4250.00
14-Nov-20,To,Rojmel,,,Receipt,250,5500.00,
14-Nov-20,By,Mandal Date CA Group 15,,,Payment,464,,2000.00
14-Nov-20,By,Party With Friends,,,Payment,465,,265.00
14-Nov-20,By,Food,,,Payment,466,,15.00
14-Nov-20,By,Cash Reserve II,,,Journal,175,,17000.00
19-Nov-20,By,Cloths,,,Payment,471,,500.00
19-Nov-20,By,Home Cash Paid,,,Payment,472,,200.00
20-Nov-20,By,Piyush Vaghasiya,,,Payment,473,,2500.00
20-Nov-20,To,Piyush Vaghasiya,,,Receipt,255,183.00,
20-Nov-20,By,Piyush Vaghasiya,,,Payment,475,,133.00
20-Nov-20,By,Piyush Vaghasiya,,,Payment,476,,150.00
22-Nov-20,By,Food,,,Payment,482,,150.00
24-Nov-20,By,Food,,,Payment,484,,100.00
24-Nov-20,By,Holiday Expenses,,,Payment,485,,360.00
24-Nov-20,By,Petrol Expenses,,,Payment,486,,100.00
24-Nov-20,By,Home Cash Paid,,,Payment,487,,100.00
24-Nov-20,To,DBS Bank,,,Contra,10,10000.00,
24-Nov-20,To,DBS Bank,,,Contra,11,10000.00,
24-Nov-20,By,Cash Reserve I,,,Payment,488,,20000.00
24-Nov-20,By,Misc. Expenses,,,Payment,489,,10.00
24-Nov-20,To,Cash Reserve II,,,Journal,178,2000.00,
24-Nov-20,By,Petrol Expenses,,,Payment,490,,450.00
24-Nov-20,By,Food,,,Payment,491,,50.00
24-Nov-20,By,Home Perquisites,,,Payment,492,,30.00
24-Nov-20,To,Rahil,,,Receipt,261,846.00,
24-Nov-20,By,Holiday Expenses,,,Payment,493,,300.00
24-Nov-20,By,Deep Shweta,,,Payment,494,,400.00
24-Nov-20,By,Food,,,Payment,495,,105.00
24-Nov-20,By,Food,,,Payment,496,,110.00
24-Nov-20,To,Jaydeep Dhorajiya,,,Receipt,262,555.00,
25-Nov-20,By,Home Cash Paid,,,Payment,497,,500.00
25-Nov-20,By,Home Perquisites,,,Payment,498,,300.00
26-Nov-20,By,Food,,,Payment,500,,140.00
26-Nov-20,To,Upad,,,Receipt,263,4500.00,
26-Nov-20,By,Misc. Expenses,,,Payment,501,,10.00
27-Nov-20,To,Loans From Friends,,,Receipt,265,1000.00,
30-Nov-20,By,Merriage Chandlo Shrimant,,,Payment,506,,200.00
01-Dec-20,By,Khodakaka,,,Payment,507,,5000.00
01-Dec-20,By,Bike Service,,,Payment,508,,200.00
02-Dec-20,To,Office Expense,,,Receipt,267,8640.00,
02-Dec-20,To,Office Expense,,,Receipt,268,50.00,
02-Dec-20,To,Ravi Kalu,,,Receipt,269,555.00,
02-Dec-20,To,Upad,,,Receipt,271,10000.00,
02-Dec-20,By,Mandal Date Advocate Group 02,,,Payment,511,,1000.00
03-Dec-20,By,Ankit Sorathiya Loan,,,Payment,512,,10000.00
04-Dec-20,By,Bhavesh Sabhadiya,,,Payment,518,,10000.00
04-Dec-20,To,Upad,,,Receipt,273,13000.00,
04-Dec-20,To,Loans From Friends,,,Receipt,274,10500.00,
04-Dec-20,By,Party With Friends,,,Payment,519,,150.00
04-Dec-20,By,Food,,,Payment,520,,50.00
04-Dec-20,By,Cash Reserve I,,,Journal,191,,20000.00
05-Dec-20,To,Piyush Vaghasiya,,,Receipt,276,555.00,
07-Dec-20,To,Piyush Vaghasiya,,,Receipt,278,45.00,
07-Dec-20,By,Home Cash Paid,,,Payment,525,,1000.00
08-Dec-20,To,Maruti Nandan,,,Receipt,279,200.00,
08-Dec-20,To,Hiteshbhai Panseriya,,,Receipt,280,4000.00,
08-Dec-20,By,Piyush Vaghasiya,,,Payment,528,,1900.00
08-Dec-20,By,Food,,,Payment,529,,55.00
08-Dec-20,By,Home Cash Paid,,,Payment,530,,1840.00
08-Dec-20,By,Home Perquisites,,,Payment,531,,1100.00
08-Dec-20,To,Pritesh Kathiriya,,,Receipt,281,1270.00,
09-Dec-20,By,Pritesh Kathiriya,,,Payment,532,,1270.00
09-Dec-20,By,Divyam Toys,,,Payment,533,,100.00
09-Dec-20,By,Food,,,Payment,534,,10.00
10-Dec-20,By,Mandal Date CA Group 15,,,Payment,538,,2000.00
10-Dec-20,To,Jaydeep Dhorajiya,,,Receipt,282,2000.00,
11-Dec-20,To,(as per details),,,Receipt,284,820.00,
,,Vivek Patel,,,,,,500.00 Cr
,,Vishal Sabhadiya,,,,,,320.00 Cr
11-Dec-20,To,DBS Bank,,,Contra,12,4000.00,
11-Dec-20,To,DBS Bank,,,Contra,13,2000.00,
11-Dec-20,To,Upad,,,Receipt,285,10000.00,
11-Dec-20,By,Kanani Mandal,,,Payment,541,,4000.00
11-Dec-20,By,Food,,,Payment,542,,50.00
11-Dec-20,By,Cash Reserve I,,,Journal,202,,5000.00
11-Dec-20,To,Cash Reserve I,,,Journal,203,50000.00,
11-Dec-20,By,Home Cash Paid,,,Payment,543,,1800.00
12-Dec-20,By,Pradip Paddu,,,Payment,545,,1000.00
12-Dec-20,To,Piyush Vaghasiya,,,Receipt,289,1900.00,
12-Dec-20,By,Holiday Expenses,,,Payment,546,,410.00
12-Dec-20,By,Donation,,,Payment,547,,100.00
13-Dec-20,To,Office Expense,,,Receipt,290,521.00,
14-Dec-20,To,Brahmani Fashion,,,Receipt,291,1500.00,
14-Dec-20,By,Food,,,Payment,550,,100.00
14-Dec-20,By,Misc. Expenses,,,Payment,551,,12.00
15-Dec-20,By,Food,,,Payment,552,,100.00
15-Dec-20,By,Home Cash Paid,,,Payment,553,,100.00
17-Dec-20,To,Brahmani Fashion,,,Receipt,295,700.00,
17-Dec-20,By,Jaydeep Dhorajiya,,,Payment,556,,4000.00
17-Dec-20,By,Misc. Expenses,,,Payment,557,,90.00
17-Dec-20,By,Food,,,Payment,558,,100.00
17-Dec-20,To,Deep Shweta,,,Receipt,296,399.00,
